HEAD,FPGA,TDC_CHANNEL,ORBIT_CNT,BX_COUNTER,TDC_MEAS
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
1,1,0,3387317245,0,72
0,1,1,3387317245,3186,14
2,0,66,3387201003,3420,3
2,0,66,3387201008,272,14
2,0,70,3387201012,2009,13
2,0,107,3387201021,3439,20
2,1,138,3387200973,491,1
2,1,43,3387200973,485,19
1,1,0,3387315431,0,130
0,1,2,3387315431,1119,24
4,1,0,3387315431,0,-0.573730
5,1,0,3387315431,0,45.500000
2,0,75,3387200947,2922,2
2,0,105,3387200955,2227,29
2,0,107,3387200955,2234,7
2,0,126,3387200973,476,29
2,1,55,3387200955,1797,12
2,1,36,3387200956,2165,28
2,1,51,3387200970,249,14
2,1,90,3387200973,475,28
4,0,0,3387339329,0,-0.537109
5,0,0,3387339329,0,-41.531250
3,0,0,3387339394,4353,0
1,0,0,3387339394,0,4
3,1,0,3387315706,17444,0
1,1,0,3387315706,0,40
0,1,4,3387315706,3055,4
4,1,0,3387315706,0,-0.312256
2,0,124,3387200973,485,16
2,0,127,3387200973,480,5
2,0,64,3387200974,464,4
2,0,117,3387200988,394,29
2,1,42,3387200973,481,18
2,1,91,3387200973,480,6
2,1,45,3387200973,482,20
2,1,88,3387200973,489,21
0,0,31,3387339394,1944,29
4,0,0,3387339394,0,-0.562500
5,0,0,3387339394,0,-67.312500
3,0,0,3387339473,18504,0
5,1,0,3387315706,0,19.234375
3,1,0,3387317245,530,0
